,xgb_accuracy,xgb_f1_score,xgb_cohen_kappa,xgb_mcc,rf_accuracy,rf_f1_score,rf_cohen_kappa,rf_mcc,svc_accuracy,svc_f1_score,svc_cohen_kappa,svc_mcc,mlp_accuracy,mlp_f1_score,mlp_cohen_kappa,mlp_mcc,train_count,test_count,actives_count,decoys_count,best_model,best_metric,best_score
Q9H244,0.9978,0.9978,0.9866,0.9866,0.9985,0.9985,0.9911,0.9911,0.9949,0.9949,0.9695,0.9697,0.9963,0.9963,0.9777,0.9778,5473,1369,622,6220,rf,cohen_kappa,0.9911
P17931,0.9693,0.9542,0.0,0.0,1.0,1.0,1.0,1.0,0.9877,0.9887,0.8271,0.8398,0.9877,0.9862,0.7441,0.7697,652,163,23,792,rf,f1_score,1.0
Q07973,0.9718,0.9579,0.0,0.0,0.9937,0.9933,0.8718,0.8791,0.9969,0.9969,0.9458,0.9472,0.9969,0.9968,0.9396,0.9413,1272,319,43,1548,svc,f1_score,0.9969
Q15118,0.9955,0.9955,0.9719,0.9723,0.9955,0.9955,0.9719,0.9723,0.991,0.991,0.9451,0.9451,0.991,0.991,0.9451,0.9451,888,223,101,1010,xgb,cohen_kappa,0.9719
O95136,0.9948,0.9948,0.9686,0.9691,0.9948,0.9948,0.9686,0.9691,0.9897,0.9897,0.9388,0.9388,0.9845,0.9843,0.9058,0.9062,774,194,88,880,xgb,cohen_kappa,0.9686
Q05823,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,6,20,7,xgb,cohen_kappa,1.0
Q9BYF1,0.974,0.9612,0.0,0.0,0.9974,0.9973,0.946,0.9474,0.9974,0.9973,0.946,0.9474,0.9974,0.9973,0.946,0.9474,1539,385,52,1872,rf,f1_score,0.9973
Q9BY41,0.9724,0.9723,0.9377,0.9377,0.9807,0.9806,0.9561,0.9566,0.942,0.9418,0.8688,0.869,0.953,0.953,0.8943,0.8943,1447,362,603,1206,rf,cohen_kappa,0.9561
O00400,0.9972,0.9971,0.944,0.9455,1.0,1.0,1.0,1.0,0.9972,0.9973,0.9494,0.9506,1.0,1.0,1.0,1.0,4262,1066,144,5184,rf,cohen_kappa,1.0
Q14416,0.9892,0.9889,0.9316,0.9338,0.9946,0.9945,0.9667,0.9673,0.9838,0.9836,0.9002,0.9007,0.9784,0.9778,0.8632,0.8652,739,185,84,840,rf,cohen_kappa,0.9667
P42345,0.9942,0.9942,0.987,0.987,0.9971,0.9971,0.9935,0.9935,0.9952,0.9952,0.9892,0.9892,0.9942,0.9942,0.987,0.987,4137,1035,1724,3448,rf,cohen_kappa,0.9935
Q12852,0.9964,0.9964,0.9776,0.9779,0.9964,0.9964,0.9776,0.9779,0.9964,0.9964,0.9781,0.9782,0.9976,0.9976,0.9853,0.9853,3317,830,377,3770,mlp,cohen_kappa,0.9853
Q9UKV0,0.99,0.9898,0.9358,0.9377,0.995,0.995,0.9687,0.9692,0.9851,0.9849,0.9061,0.9066,0.995,0.995,0.9687,0.9692,800,201,91,910,rf,cohen_kappa,0.9687
Q9NTG7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9892,0.9895,0.9353,0.9372,369,93,42,420,xgb,cohen_kappa,1.0
P49798,0.9884,0.988,0.927,0.9295,1.0,1.0,1.0,1.0,0.9884,0.9887,0.9347,0.9367,0.9884,0.988,0.927,0.9295,343,86,39,390,rf,cohen_kappa,1.0
P42330,0.9906,0.9896,0.7855,0.8042,0.9956,0.9954,0.9089,0.9127,0.9906,0.9907,0.8268,0.8272,0.9939,0.9936,0.8733,0.878,7222,1806,244,8784,rf,cohen_kappa,0.9089
Q8WUI4,0.9362,0.9343,0.8511,0.8607,0.8936,0.8877,0.7437,0.7694,0.9787,0.9785,0.9519,0.953,0.8723,0.8723,0.7157,0.7157,184,47,77,154,svc,cohen_kappa,0.9519
P00491,0.993,0.993,0.9572,0.9573,1.0,1.0,1.0,1.0,0.9977,0.9977,0.9861,0.9862,0.9977,0.9977,0.9861,0.9862,1716,429,195,1950,rf,cohen_kappa,1.0
Q9NS75,0.9738,0.9608,0.0,0.0,1.0,1.0,1.0,1.0,0.9963,0.9964,0.9314,0.9336,0.9963,0.9964,0.9314,0.9336,1065,267,36,1296,rf,f1_score,1.0
P50391,0.9773,0.9758,0.8451,0.8554,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9773,0.9784,0.8764,0.8832,176,44,20,200,rf,cohen_kappa,1.0
Q9Y251,0.9877,0.9866,0.8047,0.8205,0.9982,0.9982,0.9758,0.9761,0.9912,0.9915,0.8891,0.891,0.9947,0.9948,0.9306,0.9308,2276,570,110,2736,rf,cohen_kappa,0.9758
Q8IXJ6,0.9834,0.983,0.893,0.8948,0.9901,0.9898,0.9358,0.9377,0.9868,0.987,0.9213,0.922,0.9934,0.9933,0.9579,0.9588,1205,302,137,1370,mlp,cohen_kappa,0.9579
P43235,0.9809,0.9809,0.957,0.957,0.9821,0.982,0.9593,0.9597,0.9582,0.9584,0.9072,0.9079,0.9821,0.9821,0.9596,0.9596,3348,837,1395,2790,mlp,cohen_kappa,0.9596
P53350,1.0,1.0,1.0,1.0,0.9946,0.9946,0.9668,0.9673,0.9946,0.9947,0.9685,0.9689,0.9973,0.9973,0.9836,0.9837,1487,372,169,1690,xgb,cohen_kappa,1.0
O60235,0.9892,0.9889,0.9275,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9892,0.9889,0.9275,0.93,369,93,42,420,rf,cohen_kappa,1.0
O14965,0.9979,0.9979,0.9873,0.9873,0.9969,0.9968,0.9807,0.9809,0.9953,0.9953,0.9721,0.9723,0.9932,0.9932,0.9592,0.9593,7656,1914,870,8700,xgb,cohen_kappa,0.9873
Q02742,0.9923,0.9917,0.8313,0.8434,0.9959,0.9957,0.9163,0.9195,0.9939,0.994,0.8878,0.8884,0.9933,0.9934,0.8751,0.8751,7814,1954,264,9504,rf,cohen_kappa,0.9163
P15559,0.9739,0.9611,0.0,0.0,1.0,1.0,1.0,1.0,0.9905,0.9912,0.8414,0.8522,0.9976,0.9977,0.9553,0.9563,1687,422,57,2052,rf,f1_score,1.0
P00338,0.983,0.9827,0.8939,0.8945,0.9886,0.9886,0.9313,0.9313,0.9886,0.9886,0.9313,0.9313,0.9943,0.9942,0.9646,0.9652,704,176,80,800,mlp,cohen_kappa,0.9646
P05186,0.9963,0.9963,0.9864,0.9865,0.9925,0.9925,0.9726,0.9729,0.9888,0.9889,0.9599,0.96,0.9869,0.9871,0.9539,0.9544,2143,536,447,2232,xgb,cohen_kappa,0.9864
P02708,0.973,0.9596,0.0,0.0,0.9797,0.9738,0.3934,0.4949,0.9797,0.9783,0.5613,0.5674,0.9797,0.9738,0.3934,0.4949,592,148,20,720,svc,f1_score,0.9783
P34995,0.9883,0.988,0.926,0.9277,0.9965,0.9965,0.9785,0.9787,0.9965,0.9965,0.9792,0.9794,0.9859,0.9858,0.9133,0.9137,3414,854,388,3880,svc,cohen_kappa,0.9792
P35372,0.9959,0.9959,0.9748,0.975,0.9962,0.9961,0.9764,0.9766,0.9972,0.9972,0.983,0.983,0.9967,0.9967,0.9798,0.9798,15602,3901,1773,17730,svc,cohen_kappa,0.983
P16444,0.973,0.9596,0.0,0.0,0.9932,0.9928,0.8538,0.863,0.9932,0.9928,0.8538,0.863,1.0,1.0,1.0,1.0,592,148,20,720,mlp,f1_score,1.0
P14061,0.9925,0.9921,0.8416,0.8473,0.997,0.9969,0.9396,0.9414,0.9965,0.9965,0.9351,0.9355,0.9985,0.9985,0.9712,0.9712,7992,1998,270,9720,mlp,cohen_kappa,0.9712
Q15303,0.9577,0.956,0.7046,0.708,0.9859,0.9853,0.9015,0.9059,0.9859,0.9864,0.9154,0.9187,0.9859,0.9853,0.9015,0.9059,281,71,32,320,svc,cohen_kappa,0.9154
P55263,0.9847,0.9817,0.5935,0.6496,0.9971,0.997,0.9419,0.9435,0.999,0.9991,0.982,0.9821,0.9933,0.9928,0.8538,0.8631,4173,1044,141,5076,svc,cohen_kappa,0.982
P04150,0.9966,0.9966,0.9924,0.9924,0.9887,0.9887,0.9747,0.9747,0.991,0.991,0.9797,0.9797,0.9854,0.9854,0.9673,0.9674,3552,888,1480,2960,xgb,cohen_kappa,0.9924
P10635,0.9743,0.9616,0.0,0.0,0.9807,0.975,0.3938,0.4951,0.9839,0.9821,0.6076,0.6252,0.9807,0.9776,0.4913,0.5222,1243,311,42,1512,svc,f1_score,0.9821
O43613,0.9874,0.9873,0.9714,0.9718,0.9905,0.9905,0.9786,0.9788,0.9716,0.9717,0.9367,0.9369,0.9811,0.9811,0.9575,0.9575,1267,317,528,1056,rf,cohen_kappa,0.9786
Q04912,0.9818,0.9809,0.8791,0.8856,1.0,1.0,1.0,1.0,0.9818,0.9809,0.8791,0.8856,0.9636,0.9663,0.8136,0.8281,220,55,25,250,rf,cohen_kappa,1.0
O00329,0.989,0.9889,0.9318,0.9324,0.9882,0.9879,0.9249,0.9268,0.9873,0.9874,0.9239,0.9239,0.9899,0.9899,0.9389,0.9389,4734,1184,538,5380,mlp,cohen_kappa,0.9389
P54760,0.973,0.9596,0.0,0.0,0.9903,0.9893,0.7779,0.7978,0.9846,0.9846,0.7063,0.7063,0.9923,0.9916,0.8295,0.8418,2072,518,70,2520,mlp,f1_score,0.9916
Q9UHC3,0.9739,0.961,0.0,0.0,0.9957,0.9955,0.9069,0.9108,0.987,0.9864,0.7206,0.7238,0.9913,0.9913,0.8289,0.8289,917,230,31,1116,rf,f1_score,0.9955
P49682,0.9953,0.9951,0.9036,0.9078,0.9953,0.9951,0.9036,0.9078,0.9949,0.995,0.9065,0.9069,0.997,0.9969,0.9406,0.9423,9412,2354,318,11448,mlp,cohen_kappa,0.9406
P35228,0.9809,0.98,0.8741,0.8795,0.9888,0.9884,0.9281,0.9305,0.9663,0.9669,0.8029,0.8035,0.9832,0.9832,0.8987,0.8987,3564,891,405,4050,rf,cohen_kappa,0.9281
Q01064,0.973,0.9596,0.0,0.0,0.9955,0.9953,0.9068,0.9108,0.9955,0.9953,0.9068,0.9108,0.9865,0.9859,0.7204,0.7236,888,222,30,1080,rf,f1_score,0.9953
P25929,0.9925,0.9924,0.9531,0.9535,0.9955,0.9954,0.9719,0.9723,0.9955,0.9955,0.9731,0.9735,0.9985,0.9985,0.9909,0.9909,2648,663,301,3010,mlp,cohen_kappa,0.9909
P47900,0.9977,0.9977,0.9861,0.9862,1.0,1.0,1.0,1.0,0.9977,0.9977,0.9864,0.9865,0.9977,0.9977,0.9864,0.9865,1742,436,198,1980,rf,cohen_kappa,1.0
P05164,0.9807,0.9796,0.872,0.8792,0.9903,0.9901,0.9392,0.9409,0.971,0.9717,0.834,0.8353,0.9565,0.9548,0.7193,0.7225,827,207,94,940,rf,cohen_kappa,0.9392
Q16288,0.9286,0.9297,0.8511,0.8607,0.9286,0.9265,0.8372,0.8485,0.8571,0.8571,0.6889,0.6889,0.9286,0.9297,0.8511,0.8607,52,14,22,44,xgb,cohen_kappa,0.8511
Q96KS0,0.9868,0.9864,0.9159,0.9192,0.9934,0.9933,0.9594,0.9602,0.9868,0.9868,0.9213,0.9213,0.9868,0.9868,0.9213,0.9213,607,152,69,690,rf,cohen_kappa,0.9594
Q05397,0.9973,0.9973,0.9469,0.9482,0.9991,0.9991,0.9829,0.983,0.9982,0.9982,0.9663,0.9663,0.9991,0.9991,0.9829,0.983,8998,2250,304,10944,rf,cohen_kappa,0.9829
O14842,0.9921,0.9919,0.9502,0.9514,0.996,0.996,0.9756,0.9759,0.998,0.998,0.9882,0.9882,0.9822,0.9813,0.882,0.8882,2024,506,230,2300,svc,cohen_kappa,0.9882
Q05655,0.9949,0.9948,0.9686,0.9691,0.9949,0.9948,0.9686,0.9691,0.9847,0.9851,0.9126,0.9142,0.9898,0.9897,0.9373,0.9377,1566,392,178,1780,xgb,cohen_kappa,0.9686
Q8N5Z0,0.9725,0.9589,0.0,0.0,0.9975,0.9974,0.9511,0.9522,0.9975,0.9974,0.9511,0.9522,0.995,0.995,0.9065,0.9065,1598,400,54,1944,rf,f1_score,0.9974
Q9Y243,0.9942,0.9941,0.9646,0.9652,1.0,1.0,1.0,1.0,0.9884,0.9887,0.9347,0.9367,0.9942,0.9941,0.9646,0.9652,686,172,78,780,rf,cohen_kappa,1.0
P43004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,237,60,27,270,xgb,cohen_kappa,1.0
P06737,0.9988,0.9988,0.9925,0.9926,0.9988,0.9988,0.9925,0.9926,0.9976,0.9976,0.9853,0.9854,0.9963,0.9963,0.9776,0.9776,3264,817,371,3710,xgb,cohen_kappa,0.9925
P56524,0.9918,0.9911,0.8185,0.8323,0.9951,0.9949,0.8998,0.9043,0.9929,0.9929,0.8653,0.8653,0.9959,0.9958,0.9188,0.92,10685,2672,363,12994,mlp,cohen_kappa,0.9188
P06239,0.9943,0.9942,0.9646,0.9652,0.9981,0.9981,0.9884,0.9885,0.9934,0.9934,0.9608,0.9612,0.9896,0.9898,0.9401,0.9418,4224,1056,480,4800,rf,cohen_kappa,0.9884
P14867,0.9815,0.9769,0.4796,0.5616,0.9893,0.988,0.7504,0.7749,0.9786,0.9786,0.5962,0.5962,0.9835,0.9836,0.6933,0.6934,4114,1029,139,5004,rf,cohen_kappa,0.7504
O00398,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,228,58,26,260,xgb,cohen_kappa,1.0
Q02127,0.9902,0.99,0.938,0.9391,0.9913,0.9911,0.9446,0.9461,0.988,0.9881,0.9291,0.9295,0.9803,0.9805,0.882,0.8821,3660,916,416,4160,rf,cohen_kappa,0.9446
O43614,0.996,0.996,0.9911,0.9911,0.998,0.998,0.9955,0.9955,0.9781,0.9782,0.9512,0.9514,0.9841,0.9841,0.9641,0.9642,2008,503,837,1674,rf,cohen_kappa,0.9955
P05091,0.9854,0.9828,0.6335,0.6809,0.9951,0.9949,0.9007,0.9052,0.9951,0.9951,0.9066,0.907,0.9951,0.9949,0.9007,0.9052,2456,615,83,2988,svc,cohen_kappa,0.9066
Q10469,0.9736,0.9606,0.0,0.0,0.9883,0.9866,0.7088,0.7409,0.9941,0.9938,0.872,0.8793,0.9941,0.9938,0.872,0.8793,1361,341,46,1656,svc,f1_score,0.9938
O15382,0.9736,0.9606,0.0,0.0,0.9971,0.997,0.9397,0.9414,0.9971,0.997,0.9397,0.9414,0.9883,0.9866,0.7088,0.7409,1361,341,46,1656,rf,f1_score,0.997
P21397,0.9653,0.9652,0.9213,0.9215,0.97,0.9698,0.9315,0.9325,0.9543,0.9545,0.8983,0.899,0.9732,0.9732,0.9398,0.9399,2534,634,1056,2112,mlp,cohen_kappa,0.9398
P05129,0.9767,0.9752,0.8448,0.8551,0.9767,0.9752,0.8448,0.8551,0.9884,0.9887,0.9347,0.9367,0.9884,0.988,0.927,0.9295,343,86,39,390,svc,cohen_kappa,0.9347
Q86TI2,0.9892,0.9889,0.9308,0.9331,0.9913,0.9911,0.9453,0.9467,0.987,0.9871,0.9231,0.9234,0.9848,0.9846,0.9053,0.906,1848,462,210,2100,rf,cohen_kappa,0.9453
Q6PCB7,0.9722,0.9585,0.0,0.0,1.0,1.0,1.0,1.0,0.996,0.9962,0.9313,0.9335,1.0,1.0,1.0,1.0,1006,252,34,1224,rf,f1_score,1.0
Q13093,0.9881,0.9878,0.9234,0.9261,0.9941,0.994,0.9629,0.9635,0.9955,0.9956,0.9732,0.9732,0.9955,0.9955,0.9728,0.9728,2692,674,306,3060,svc,cohen_kappa,0.9732
P14920,0.9838,0.9804,0.5647,0.6273,0.9968,0.9967,0.9345,0.9365,0.9968,0.9968,0.9417,0.9433,0.9968,0.9967,0.9345,0.9365,3700,925,125,4500,svc,cohen_kappa,0.9417
P51452,0.9744,0.9617,0.0,0.0,0.9808,0.9751,0.3938,0.4951,0.9487,0.9537,0.1746,0.1784,0.9744,0.9617,0.0,0.0,621,156,21,756,rf,f1_score,0.9751
O75907,0.997,0.997,0.9816,0.9817,0.9985,0.9985,0.9908,0.9909,0.997,0.997,0.9821,0.9822,0.9993,0.9993,0.9955,0.9955,5341,1336,607,6070,mlp,cohen_kappa,0.9955
P15538,0.9828,0.9828,0.9614,0.9614,0.9828,0.9828,0.9614,0.9614,0.9862,0.9862,0.969,0.969,0.9621,0.9619,0.9141,0.9144,1159,290,483,966,svc,cohen_kappa,0.969
P42785,0.9928,0.9923,0.8432,0.8538,0.9953,0.9951,0.9036,0.9078,0.9953,0.9954,0.9149,0.9156,0.9962,0.9961,0.9237,0.9253,9442,2361,319,11484,mlp,cohen_kappa,0.9237
P53667,0.973,0.9596,0.0,0.0,0.9946,0.9943,0.8862,0.892,0.9973,0.9972,0.946,0.9474,0.9973,0.9972,0.946,0.9474,1480,370,50,1800,svc,f1_score,0.9972
P11362,0.9846,0.9841,0.9007,0.9037,0.9902,0.99,0.9378,0.9396,0.9874,0.9875,0.9254,0.9257,0.9874,0.9874,0.9233,0.9233,2860,715,325,3250,rf,cohen_kappa,0.9378
Q96IY4,0.997,0.9969,0.9396,0.9413,0.999,0.999,0.9806,0.9808,0.999,0.999,0.9813,0.9815,0.9949,0.9947,0.8954,0.9003,3936,985,133,4788,svc,cohen_kappa,0.9813
O15379,0.994,0.9937,0.8726,0.8798,0.9928,0.9923,0.8433,0.8539,0.9897,0.9899,0.8133,0.8142,0.9947,0.9947,0.8982,0.8983,16702,4176,567,20311,mlp,cohen_kappa,0.8982
Q9UGL1,0.973,0.9596,0.0,0.0,0.9853,0.9825,0.6186,0.6691,0.9877,0.9874,0.7556,0.7565,0.9828,0.9789,0.5265,0.5978,1628,407,55,1980,svc,f1_score,0.9874
Q13002,0.9983,0.9983,0.9669,0.9674,0.9983,0.9983,0.9669,0.9674,0.9983,0.9983,0.9669,0.9674,0.9983,0.9983,0.9669,0.9674,2397,600,81,2916,xgb,cohen_kappa,0.9669
Q02083,0.971,0.9683,0.785,0.8038,1.0,1.0,1.0,1.0,0.9855,0.986,0.9151,0.9184,0.9855,0.9849,0.9013,0.9057,272,69,31,310,rf,cohen_kappa,1.0
O60911,0.9722,0.9584,0.0,0.0,0.9893,0.988,0.7567,0.7802,0.9829,0.9835,0.7055,0.7074,0.985,0.9823,0.625,0.6742,1864,467,63,2268,rf,f1_score,0.988
P05089,0.9714,0.9573,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9755,0.9665,0.2446,0.3733,976,245,33,1188,rf,f1_score,1.0
Q16620,0.9723,0.9587,0.0,0.0,0.9931,0.9926,0.8537,0.863,0.9913,0.9909,0.8232,0.8279,0.9931,0.9929,0.8631,0.8652,2308,578,78,2808,mlp,f1_score,0.9929
P31639,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,264,66,30,300,xgb,cohen_kappa,1.0
P20618,0.9275,0.903,0.2675,0.393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9855,0.986,0.9151,0.9184,272,69,31,310,rf,cohen_kappa,1.0
Q00796,0.9487,0.9495,0.8889,0.8944,1.0,1.0,1.0,1.0,0.9744,0.9746,0.9434,0.9449,0.9487,0.9495,0.8889,0.8944,153,39,64,128,rf,cohen_kappa,1.0
Q09428,0.973,0.9596,0.0,0.0,0.9865,0.9843,0.6606,0.7022,0.9865,0.9865,0.7431,0.7431,0.9797,0.9808,0.6563,0.6607,592,148,20,720,svc,f1_score,0.9865
P00374,0.9911,0.9909,0.9441,0.945,0.9911,0.9909,0.9436,0.9451,0.992,0.9919,0.9512,0.9513,0.9884,0.9883,0.9283,0.9287,4479,1120,509,5090,svc,cohen_kappa,0.9512
Q02763,0.9883,0.9866,0.7145,0.7455,0.9975,0.9974,0.9495,0.9507,0.9966,0.9966,0.9358,0.9358,0.9941,0.9939,0.8784,0.8817,4765,1192,161,5796,rf,cohen_kappa,0.9495
Q6V1X1,0.9912,0.9903,0.8,0.8165,0.9966,0.9965,0.9303,0.9326,0.9927,0.9929,0.8702,0.8728,0.9927,0.9925,0.8534,0.8544,8169,2043,276,9936,rf,cohen_kappa,0.9303
O15151,0.8889,0.8902,0.7568,0.7593,0.963,0.9624,0.9143,0.9177,0.963,0.9624,0.9143,0.9177,0.963,0.9624,0.9143,0.9177,105,27,44,88,rf,cohen_kappa,0.9143
P37059,0.9953,0.995,0.9014,0.9058,0.9953,0.995,0.9014,0.9058,0.9957,0.9958,0.9222,0.923,0.9953,0.9951,0.9032,0.906,8436,2109,285,10260,svc,cohen_kappa,0.9222
P56817,0.9886,0.9886,0.9743,0.9744,0.9918,0.9918,0.9815,0.9816,0.9846,0.9846,0.9653,0.9653,0.9896,0.9895,0.9764,0.9765,8800,2201,3667,7334,rf,cohen_kappa,0.9815
