,xgb_accuracy,xgb_f1_score,xgb_cohen_kappa,xgb_mcc,rf_accuracy,rf_f1_score,rf_cohen_kappa,rf_mcc,svc_accuracy,svc_f1_score,svc_cohen_kappa,svc_mcc,mlp_accuracy,mlp_f1_score,mlp_cohen_kappa,mlp_mcc,train_count,test_count,actives_count,decoys_count,best_model,best_metric,best_score
Q02763,0.9883,0.9866,0.7145,0.7455,0.9975,0.9974,0.9495,0.9507,0.9966,0.9966,0.9358,0.9358,0.9941,0.9939,0.8784,0.8817,4765,1192,161,5796,rf,cohen_kappa,0.9495
Q14654,0.9953,0.995,0.9024,0.9067,0.9988,0.9988,0.9772,0.9774,0.9988,0.9988,0.9781,0.9783,0.9988,0.9988,0.9772,0.9774,3374,844,114,4104,svc,cohen_kappa,0.9781
P21397,0.9653,0.9652,0.9213,0.9215,0.97,0.9698,0.9315,0.9325,0.9543,0.9545,0.8983,0.899,0.9732,0.9732,0.9398,0.9399,2534,634,1056,2112,mlp,cohen_kappa,0.9398
Q05655,0.9949,0.9948,0.9686,0.9691,0.9949,0.9948,0.9686,0.9691,0.9847,0.9851,0.9126,0.9142,0.9898,0.9897,0.9373,0.9377,1566,392,178,1780,xgb,cohen_kappa,0.9686
P53582,0.965,0.9612,0.7442,0.7698,0.972,0.9697,0.8036,0.8195,0.965,0.963,0.7639,0.7717,0.972,0.9697,0.8036,0.8195,572,143,65,650,rf,cohen_kappa,0.8036
P55212,0.963,0.9585,0.7184,0.7487,0.963,0.9585,0.7184,0.7487,0.9778,0.9763,0.8454,0.8557,0.9704,0.9676,0.7847,0.8035,536,135,61,610,svc,cohen_kappa,0.8454
P37023,0.9808,0.9797,0.8648,0.8728,1.0,1.0,1.0,1.0,0.9904,0.9906,0.9421,0.9437,0.9904,0.9901,0.936,0.9379,413,104,47,470,rf,cohen_kappa,1.0
O95749,0.9878,0.9874,0.9165,0.9197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9878,0.9882,0.9267,0.9292,325,82,37,370,rf,cohen_kappa,1.0
Q9UHC9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,26,21,105,xgb,cohen_kappa,1.0
Q9H2K2,0.9931,0.993,0.9573,0.9581,0.9885,0.9882,0.9271,0.9296,0.9725,0.9731,0.842,0.8431,0.9908,0.9907,0.9437,0.9441,1742,436,198,1980,xgb,cohen_kappa,0.9573
Q07817,0.9907,0.9906,0.9423,0.9428,0.9938,0.9937,0.9613,0.962,0.9959,0.9959,0.9753,0.9753,0.9928,0.9928,0.956,0.9561,3880,971,441,4410,svc,cohen_kappa,0.9753
Q04828,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9167,0.9228,0.75,0.7746,1.0,1.0,1.0,1.0,96,24,20,100,xgb,cohen_kappa,1.0
P16581,0.9924,0.9917,0.8295,0.8419,0.9924,0.9917,0.8295,0.8419,0.9975,0.9975,0.9511,0.9511,0.9975,0.9974,0.9487,0.9499,3137,785,106,3816,svc,cohen_kappa,0.9511
P48449,0.9748,0.9736,0.8364,0.8414,0.9874,0.987,0.92,0.9229,0.9832,0.9835,0.9038,0.9048,0.9748,0.9757,0.8611,0.8648,950,238,108,1080,rf,cohen_kappa,0.92
O75173,0.9928,0.9923,0.8426,0.8532,0.9964,0.9963,0.9267,0.9292,0.9964,0.9964,0.9315,0.9315,0.9982,0.9982,0.9657,0.9657,4440,1110,150,5400,mlp,cohen_kappa,0.9657
P08238,0.9973,0.9973,0.9836,0.9836,0.9973,0.9973,0.9834,0.9835,0.9986,0.9986,0.9918,0.9919,0.9905,0.9907,0.9444,0.9451,2948,737,335,3350,svc,cohen_kappa,0.9918
Q86TI2,0.9892,0.9889,0.9308,0.9331,0.9913,0.9911,0.9453,0.9467,0.987,0.9871,0.9231,0.9234,0.9848,0.9846,0.9053,0.906,1848,462,210,2100,rf,cohen_kappa,0.9453
Q15119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9885,0.9888,0.9348,0.9368,695,174,79,790,xgb,cohen_kappa,1.0
O15264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9688,0.9688,0.8161,0.8161,0.9688,0.9688,0.8161,0.8161,255,64,29,290,xgb,cohen_kappa,1.0
Q16602,0.9955,0.9955,0.9725,0.9726,0.9955,0.9955,0.9722,0.9726,0.9955,0.9956,0.9732,0.9732,0.9933,0.9933,0.9588,0.9589,3581,896,407,4070,svc,cohen_kappa,0.9732
Q14397,0.9787,0.9775,0.8582,0.867,1.0,1.0,1.0,1.0,0.9929,0.993,0.959,0.9599,0.9929,0.9928,0.9561,0.957,563,141,64,640,rf,cohen_kappa,1.0
P11509,0.9275,0.903,0.2675,0.393,0.971,0.9683,0.785,0.8038,0.9855,0.9849,0.9013,0.9057,0.971,0.9683,0.785,0.8038,272,69,31,310,svc,cohen_kappa,0.9013
Q8N474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,598,150,68,680,xgb,cohen_kappa,1.0
Q92793,0.9278,0.9063,0.3414,0.4537,0.9485,0.9393,0.5921,0.6485,0.9588,0.9588,0.7551,0.7551,0.9175,0.9175,0.5101,0.5101,387,97,44,440,svc,cohen_kappa,0.7551
P07339,0.9818,0.9817,0.9588,0.9589,0.9818,0.9817,0.9588,0.9589,0.9787,0.9787,0.9523,0.9523,0.9726,0.9727,0.9387,0.9387,1312,329,547,1094,xgb,cohen_kappa,0.9588
P05771,0.9978,0.9978,0.987,0.9871,0.9978,0.9978,0.9868,0.9868,0.9978,0.9978,0.987,0.9871,0.9891,0.9894,0.9378,0.9396,1830,458,208,2080,xgb,cohen_kappa,0.987
Q9H244,0.9978,0.9978,0.9866,0.9866,0.9985,0.9985,0.9911,0.9911,0.9949,0.9949,0.9695,0.9697,0.9963,0.9963,0.9777,0.9778,5473,1369,622,6220,rf,cohen_kappa,0.9911
P30989,0.9913,0.9911,0.9426,0.9442,0.9913,0.9911,0.9426,0.9442,1.0,1.0,1.0,1.0,0.9913,0.9911,0.9426,0.9442,457,115,52,520,svc,cohen_kappa,1.0
P13497,0.9941,0.9938,0.8755,0.8824,0.9991,0.9991,0.9826,0.9827,1.0,1.0,1.0,1.0,0.9986,0.9986,0.9741,0.9741,8850,2213,299,10764,svc,cohen_kappa,1.0
Q13822,0.9821,0.9816,0.885,0.8864,0.9776,0.9761,0.8452,0.8556,0.9731,0.9737,0.8423,0.8435,0.9821,0.9812,0.8793,0.8857,888,223,101,1010,xgb,cohen_kappa,0.885
P00750,0.9881,0.9877,0.9221,0.9249,0.9881,0.9877,0.9221,0.9249,0.9702,0.9707,0.8223,0.8229,0.9881,0.9877,0.9221,0.9249,668,168,76,760,xgb,cohen_kappa,0.9221
O14965,0.9979,0.9979,0.9873,0.9873,0.9969,0.9968,0.9807,0.9809,0.9953,0.9953,0.9721,0.9723,0.9932,0.9932,0.9592,0.9593,7656,1914,870,8700,xgb,cohen_kappa,0.9873
Q9Y3Q4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143,0.645,0.2432,0.3721,55,14,23,46,xgb,cohen_kappa,1.0
O60563,0.9978,0.9977,0.9566,0.9575,0.9993,0.9993,0.9859,0.986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5416,1355,183,6588,svc,cohen_kappa,1.0
P33316,0.9904,0.9893,0.7758,0.7961,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9979,0.9978,0.9572,0.9581,3729,933,126,4536,rf,cohen_kappa,1.0
O76083,0.9945,0.9942,0.8818,0.8881,0.9972,0.9972,0.944,0.9455,0.9991,0.9991,0.982,0.9821,0.9991,0.9991,0.982,0.9821,4351,1088,147,5292,svc,cohen_kappa,0.982
P28222,0.9841,0.9835,0.8967,0.9005,0.9841,0.9834,0.8957,0.9006,0.985,0.9852,0.9119,0.9125,0.9868,0.9867,0.9188,0.919,4532,1133,515,5150,mlp,cohen_kappa,0.9188
P33261,0.9302,0.9106,0.3768,0.4818,0.9419,0.9295,0.5212,0.5936,0.9419,0.9401,0.635,0.6367,0.9186,0.8887,0.2058,0.3387,343,86,39,390,svc,cohen_kappa,0.635
P43119,0.9795,0.9782,0.8586,0.8673,0.9932,0.993,0.9563,0.9572,0.9863,0.9863,0.9156,0.9156,0.9932,0.993,0.9563,0.9572,580,146,66,660,rf,cohen_kappa,0.9563
P11150,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9984,0.9984,0.9903,0.9903,2472,619,281,2810,xgb,cohen_kappa,1.0
Q99558,0.9947,0.9948,0.9685,0.9687,0.9989,0.9989,0.9936,0.9936,0.9989,0.9989,0.9936,0.9936,0.9989,0.9989,0.9936,0.9936,3792,949,431,4310,rf,cohen_kappa,0.9936
P29597,0.9565,0.9571,0.9053,0.9094,1.0,1.0,1.0,1.0,0.9565,0.9571,0.9053,0.9094,0.9565,0.9571,0.9053,0.9094,273,69,114,228,rf,cohen_kappa,1.0
Q04759,0.9919,0.9917,0.9488,0.9501,0.9919,0.9917,0.9488,0.9501,0.9919,0.9918,0.9505,0.9505,0.9951,0.9951,0.9698,0.9702,2455,614,279,2790,mlp,cohen_kappa,0.9698
P02753,0.9886,0.9885,0.9299,0.9302,0.9848,0.9846,0.9048,0.9058,0.9924,0.9926,0.9558,0.9568,0.9773,0.9763,0.8514,0.8556,1056,264,120,1200,svc,cohen_kappa,0.9558
P51449,0.9512,0.9512,0.8906,0.8906,0.9573,0.9568,0.902,0.9043,0.9268,0.9277,0.8402,0.8429,0.8902,0.8919,0.7624,0.7666,655,164,273,546,rf,cohen_kappa,0.902
P21731,0.9954,0.9954,0.9718,0.9719,0.9969,0.9969,0.9811,0.9812,0.9908,0.9908,0.9449,0.9451,0.9938,0.9938,0.9627,0.9627,2596,649,295,2950,rf,cohen_kappa,0.9811
P09211,0.9481,0.9384,0.5769,0.6367,0.987,0.9866,0.916,0.9193,0.987,0.9866,0.916,0.9193,0.974,0.972,0.8197,0.8333,308,77,35,350,rf,cohen_kappa,0.916
Q9UGN5,0.96,0.957,0.7289,0.7411,0.9733,0.9713,0.8193,0.833,1.0,1.0,1.0,1.0,0.9733,0.9713,0.8193,0.833,598,150,68,680,svc,cohen_kappa,1.0
P19099,0.9835,0.9835,0.9628,0.9629,0.9929,0.9929,0.9841,0.9841,0.9835,0.9836,0.9633,0.9636,0.9718,0.9719,0.937,0.9372,1696,425,707,1414,rf,cohen_kappa,0.9841
P15090,1.0,1.0,1.0,1.0,0.9924,0.9923,0.9524,0.9535,0.9697,0.9697,0.8167,0.8167,0.9697,0.9684,0.8018,0.8058,528,132,60,600,xgb,cohen_kappa,1.0
P00492,0.987,0.9866,0.916,0.9193,0.987,0.9866,0.916,0.9193,1.0,1.0,1.0,1.0,0.987,0.9866,0.916,0.9193,308,77,35,350,svc,cohen_kappa,1.0
P16050,0.9816,0.9769,0.4809,0.5627,0.9939,0.9935,0.8696,0.8771,0.9947,0.9948,0.9035,0.904,0.9947,0.9947,0.8973,0.8978,4558,1140,154,5544,svc,cohen_kappa,0.9035
Q9NWZ3,0.9934,0.9933,0.9579,0.9588,0.9934,0.9933,0.9579,0.9588,0.9934,0.9934,0.9593,0.9593,0.9934,0.9933,0.9579,0.9588,1205,302,137,1370,svc,cohen_kappa,0.9593
O75116,0.9893,0.989,0.9317,0.9339,0.9878,0.9875,0.9219,0.9241,0.9939,0.9939,0.963,0.963,0.9916,0.9915,0.9478,0.9483,5253,1314,597,5970,svc,cohen_kappa,0.963
Q01432,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9636,0.9594,0.7317,0.7596,220,55,25,250,xgb,cohen_kappa,1.0
P01275,0.9987,0.9987,0.9749,0.9752,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3048,763,103,3708,rf,cohen_kappa,1.0
Q16478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9362,0.9181,0.3789,0.4834,184,47,21,210,xgb,cohen_kappa,1.0
Q13258,0.9976,0.9977,0.986,0.9861,0.9976,0.9976,0.9857,0.9858,0.9929,0.993,0.9581,0.9582,0.9835,0.9828,0.8925,0.8977,1698,425,193,1930,xgb,cohen_kappa,0.986
Q8TDV5,0.9899,0.9896,0.9356,0.9376,0.9959,0.9959,0.975,0.9754,0.998,0.998,0.9876,0.9877,0.9919,0.9918,0.9501,0.9504,1971,493,224,2240,svc,cohen_kappa,0.9876
P36897,0.9967,0.9967,0.98,0.9802,0.9967,0.9967,0.98,0.9802,0.9984,0.9984,0.9903,0.9903,0.9935,0.9935,0.9613,0.9615,2455,614,279,2790,svc,cohen_kappa,0.9903
Q9NTG7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9892,0.9895,0.9353,0.9372,369,93,42,420,xgb,cohen_kappa,1.0
Q07820,0.9935,0.9934,0.9594,0.9602,0.9918,0.9917,0.9496,0.9501,0.9886,0.9887,0.9328,0.9332,0.9886,0.9888,0.9339,0.9349,2446,612,278,2780,xgb,cohen_kappa,0.9594
Q8TCT1,0.9677,0.9648,0.7832,0.8023,0.9839,0.9832,0.9003,0.9048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,246,62,28,280,svc,cohen_kappa,1.0
P56817,0.9886,0.9886,0.9743,0.9744,0.9918,0.9918,0.9815,0.9816,0.9846,0.9846,0.9653,0.9653,0.9896,0.9895,0.9764,0.9765,8800,2201,3667,7334,rf,cohen_kappa,0.9815
P08581,0.9971,0.9971,0.9822,0.9822,0.9956,0.9956,0.9732,0.9733,0.9964,0.9964,0.9781,0.9781,0.9974,0.9975,0.9847,0.9847,10973,2744,1247,12470,mlp,cohen_kappa,0.9847
P14625,0.9143,0.9133,0.8059,0.8076,0.9429,0.9415,0.8679,0.8756,0.9714,0.9711,0.9353,0.9373,0.9429,0.9415,0.8679,0.8756,139,35,58,116,svc,cohen_kappa,0.9353
Q59H18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,220,55,25,250,xgb,cohen_kappa,1.0
Q9Y2T6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9667,0.9691,0.8154,0.8296,0.9833,0.984,0.9,0.9045,237,60,27,270,xgb,cohen_kappa,1.0
P09467,0.9961,0.996,0.9211,0.924,0.9989,0.9989,0.9786,0.9788,0.9983,0.9983,0.9682,0.9683,0.9978,0.9978,0.9589,0.9591,7252,1813,245,8820,rf,cohen_kappa,0.9786
Q5S007,0.988,0.9878,0.9245,0.9257,0.99,0.9897,0.9364,0.9383,0.99,0.9899,0.9383,0.9386,0.988,0.9876,0.9229,0.9257,4004,1001,455,4550,svc,cohen_kappa,0.9383
Q15059,0.9917,0.991,0.8164,0.8305,0.9971,0.997,0.941,0.9427,0.9982,0.9982,0.9661,0.9662,0.9976,0.9976,0.9543,0.9546,6778,1695,229,8244,svc,cohen_kappa,0.9661
Q9HAZ1,0.9615,0.9592,0.8354,0.847,0.9231,0.9119,0.6286,0.677,0.8846,0.8897,0.5979,0.6034,0.9615,0.9592,0.8354,0.847,100,26,21,105,xgb,cohen_kappa,0.8354
O75874,0.9974,0.9974,0.9843,0.9844,1.0,1.0,1.0,1.0,0.9974,0.9975,0.9847,0.9848,0.9987,0.9987,0.9923,0.9923,3124,781,355,3550,rf,cohen_kappa,1.0
Q96LA8,0.9574,0.9508,0.6466,0.6912,1.0,1.0,1.0,1.0,0.9787,0.9798,0.8773,0.884,1.0,1.0,1.0,1.0,184,47,21,210,rf,cohen_kappa,1.0
Q05823,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,6,20,7,xgb,cohen_kappa,1.0
P33981,0.9933,0.9931,0.9574,0.9582,0.9933,0.9931,0.9574,0.9582,0.9933,0.9931,0.9574,0.9582,0.9955,0.9955,0.9725,0.9725,1777,445,202,2020,mlp,cohen_kappa,0.9725
O60885,0.9934,0.993,0.86,0.8668,0.9959,0.9957,0.9146,0.9179,0.9959,0.9959,0.9229,0.9232,0.9972,0.9973,0.9486,0.9489,11573,2894,391,14076,mlp,cohen_kappa,0.9486
P08842,0.9945,0.9944,0.966,0.9661,0.9963,0.9963,0.9771,0.9774,0.9963,0.9963,0.9776,0.9776,0.9963,0.9963,0.9776,0.9776,2164,542,246,2460,svc,cohen_kappa,0.9776
P20618,0.9275,0.903,0.2675,0.393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9855,0.986,0.9151,0.9184,272,69,31,310,rf,cohen_kappa,1.0
P11766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,272,69,31,310,xgb,cohen_kappa,1.0
Q99814,0.9892,0.9889,0.9275,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9892,0.9895,0.9353,0.9372,369,93,42,420,rf,cohen_kappa,1.0
Q16548,0.963,0.9642,0.8861,0.8919,1.0,1.0,1.0,1.0,0.963,0.9642,0.8861,0.8919,0.8889,0.8926,0.6582,0.6625,105,27,22,110,rf,cohen_kappa,1.0
P33527,0.9887,0.9873,0.728,0.7565,0.9944,0.9941,0.8795,0.886,0.9958,0.9957,0.9168,0.9171,0.9944,0.9941,0.8795,0.886,2841,711,96,3456,svc,cohen_kappa,0.9168
Q9HBA0,0.9697,0.9689,0.807,0.8087,1.0,1.0,1.0,1.0,0.9899,0.9901,0.9418,0.9434,1.0,1.0,1.0,1.0,396,99,45,450,rf,cohen_kappa,1.0
P32238,0.9886,0.9872,0.7279,0.7565,0.9964,0.9964,0.9297,0.9305,0.9972,0.9972,0.9473,0.9476,0.9972,0.9972,0.9459,0.9459,5630,1408,192,6846,svc,cohen_kappa,0.9473
P11387,0.9962,0.9961,0.9211,0.924,0.9981,0.9981,0.962,0.9627,0.9981,0.9981,0.9645,0.9651,0.9962,0.9961,0.9211,0.924,4203,1051,142,5112,svc,cohen_kappa,0.9645
Q07075,0.9677,0.9643,0.7529,0.777,0.9785,0.9771,0.8458,0.856,1.0,1.0,1.0,1.0,0.9677,0.9643,0.7529,0.777,369,93,42,420,svc,cohen_kappa,1.0
P41180,0.9809,0.9761,0.473,0.5565,0.9956,0.9954,0.912,0.9156,0.9956,0.9958,0.9246,0.9272,0.9971,0.997,0.9429,0.9445,2725,682,93,3314,mlp,cohen_kappa,0.9429
P11802,0.9953,0.995,0.9015,0.9059,0.998,0.998,0.9616,0.9623,0.9964,0.9965,0.9347,0.9362,0.9992,0.9992,0.9839,0.984,14326,3582,484,17424,mlp,cohen_kappa,0.9839
O15530,0.9911,0.9903,0.8046,0.8204,0.9963,0.9962,0.9274,0.9299,0.9963,0.9964,0.9339,0.9343,0.9974,0.9974,0.9519,0.952,7640,1911,263,9288,mlp,cohen_kappa,0.9519
O14746,0.9831,0.9823,0.8875,0.8931,0.9831,0.9823,0.8875,0.8931,0.9803,0.9801,0.8781,0.8782,0.9775,0.9771,0.8586,0.8592,1416,355,161,1610,xgb,cohen_kappa,0.8875
Q16620,0.9767,0.9752,0.8448,0.8551,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9767,0.9774,0.8695,0.8714,686,172,78,780,rf,cohen_kappa,1.0
P07099,0.9919,0.9913,0.8235,0.8318,0.9951,0.995,0.9007,0.9027,0.9894,0.99,0.8213,0.8277,0.9959,0.9958,0.9186,0.9197,4913,1229,166,5976,mlp,cohen_kappa,0.9186
P08172,0.9754,0.9752,0.9439,0.9448,0.9809,0.9808,0.9565,0.957,0.9481,0.9484,0.8848,0.8856,0.9617,0.9615,0.9129,0.9135,1464,366,610,1220,rf,cohen_kappa,0.9565
Q12884,0.9796,0.9784,0.8641,0.8722,0.9949,0.9948,0.9686,0.9691,0.9847,0.9849,0.9105,0.9109,1.0,1.0,1.0,1.0,783,196,89,890,mlp,cohen_kappa,1.0
Q07973,0.9263,0.9132,0.4282,0.4691,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9789,0.9778,0.8637,0.8718,378,95,43,430,rf,cohen_kappa,1.0
P55201,0.9778,0.9763,0.8454,0.8557,0.9926,0.9924,0.9525,0.9536,0.9852,0.9857,0.9149,0.9183,0.9852,0.9846,0.9011,0.9055,536,135,61,610,rf,cohen_kappa,0.9525
